 order_id , customer_id , customer_name , order_date , amount , city ,
1001,C001, Aswin ,2024-01-10,4500, Kochi,
1002,C002, Rahul ,2024-01-11,12000, Trivandrum,
1003,C003, Meera ,2024-01-12,0, Bangalore,
1004,C001, Aswin ,2024-01-13,8000, Kochi,
1005,C004, Anjali ,2024-01-14,3000, Chennai,
1006,C005, ,2024-01-15,15000, Hyderabad,
1007,C006, Arun ,2024-01-16,2000, Kochi,
1008,C002, Rahul ,2024-01-17,7000, Trivandrum,
1009,C007, Neha ,2024-01-18,9500, Mumbai,
1010,C008, Suresh ,2024-01-19,0, Coimbatore,
