employee_id,name,department,salary,email,city,hire_date
1,Amit,IT,90757,user1@company.com,Delhi,2018-01-01
2,Riya,HR,69227,user2@company.com,Mumbai,2018-06-30
3,John,Finance,86743,user3@company.com,Bangalore,2018-12-27
4,Sneha,Sales,86319,user4@company.com,Chennai,2019-06-25
6,Anjali,HR,68129,user6@company.com,Kochi,2020-06-19
7,Vivek,Finance,74747,user7@company.com,Hyderabad,2020-12-16
8,Neha,Sales,114626,user8@company.com,Kolkata,2021-06-14
10,Priya,HR,113819,user10@company.com,Gurgaon,2022-06-09
11,Karan,Finance,83570,user11@company.com,Delhi,2022-12-06
12,Meera,Sales,59842,user12@company.com,Mumbai,2023-06-04
13,Suresh,IT,87623,user13@company.com,Bangalore,2023-12-01
14,Pooja,HR,113653,user14@company.com,Chennai,2024-05-29
15,Rohit,Finance,56099,user15@company.com,Pune,2024-11-25
16,Kavya,Sales,89814,user16@company.com,Kochi,2025-05-24
17,Deepak,IT,87004,user17@company.com,Hyderabad,2025-11-20
19,Manoj,Finance,106259,user19@company.com,Noida,2026-11-15
20,Nikita,Sales,79974,user20@company.com,Gurgaon,2027-05-14
